/* Author: Jeffrey Chan */ 
/* Author: Chenhan Zhu */ 
  
Jeep Grand Cherokee,98,Suv,2004,automatic ,125000,jeep,144.9655776,-37.80314407,5,Bluetooth
GOLF 4 1 4  3TER,68,Compact,2001,manual ,30000,volkswagen,144.9640303,-37.80168911,5,Bluetooth
Peugeot 206 CC 110,36,Compact,2008,automatic ,90000,peugeot,144.9634689,-37.80473009,5,Bluetooth
BMW 316ie36 Limousine,145,Luxury,1995,manual ,150000,bmw,144.9653087,-37.80120787,5,Bluetooth
Peugeot 206 CC 110,48,Convertible,2004,automatic,30000,peugeot,144.9634888,-37.8052766,5,Bluetooth
VW Derby Bj 80,36,Luxury,1980,automatic,40000,volkswagen,144.9634957,-37.80526379,5,Bluetooth
Ford C   Max Titanium,36,Fullsize,2014,automatic,30000,ford,144.9651137,-37.80376247,5,Bluetooth
VW Golf 4 5 tuerig zu,36,Compact,1998,manual ,150000,volkswagen,144.9639044,-37.80483275,5,Bluetooth
Mazda 3 1.6 Sport,36,Luxury,2004,manual ,30000,mazda,144.9638897,-37.80486145,5,Bluetooth
Volkswagen Passat Variant 2.0,69,Economy,2005,automatic,125000,volkswagen,144.9639058,-37.80482935,5,Bluetooth
VW Passat Facelift 35i,69,Economy,1995,manual ,125000,volkswagen,144.9638849,-37.80492043,5,Bluetooth
VW PASSAT 1.9 TDI 131,45,Economy,2004,manual ,150000,volkswagen,144.9629776,-37.80970217,5,Bluetooth
Nissan Navara 2.5DPF SE4x4,69,Suv,2011,manual ,70000,nissan,144.9637426,-37.80097151,5,Bluetooth
KA Lufthansa Edition 450VB,450,Compact,1910,automatic,5000,ford,144.9625031,-37.80528911,5,Bluetooth
Polo 6n 1 4,55,Fullsize,2016,automatic,150000,volkswagen,144.9659365,-37.80365962,5,Bluetooth
Renault Twingo 1.2 16V Aut.,75,Compact,2004,automatic ,5000,renault,144.964843,-37.80813796,5,Bluetooth
Ford C MAX 2.0 TDCi DPF,75,Fullsize,2007,manual ,70000,ford,144.9645618,-37.80301681,5,Bluetooth
Mercedes Benz A 160 Classic,75,Fullsize,2004,manual ,150000,mercedesBenz,144.9645622,-37.8030222,5,Bluetooth
Volkswagen Scirocco 1.4 TSI Sport,69,Luxury,2009,manual ,100000,volkswagen,144.9645683,-37.80309869,5,Bluetooth
BMW 530i T 7/17 Scheckhef,69,Luxury,2002,automatic ,70000,bmw,144.9645703,-37.80311088,5,Bluetooth
Opel Meriva 1.Hand T 3.2018,29,Fullsize,2018,manual ,150000,opel,144.9649253,-37.80818718,5,Bluetooth
Stadtflitzer,29,Compact,1997,manual ,150000,seat,144.9648083,-37.80831511,5,Bluetooth
MERCEDES 200E  T 04/2016,51,Luxury,1990,manual ,70000,mercedesBenz,144.9684503,-37.80361836,5,Bluetooth
BMW 530d touring Vollausstattung NAVI,25,Economy,2002,automatic ,150000,bmw,144.9616753,-37.80860395,5,Bluetooth
Citroen C4 Grand Picasso.,69,Fullsize,2017,manual ,125000,citroen,144.9616994,-37.80862064,5,Bluetooth
Honda Civic 1.4 i VTEC,69,Luxury,2008,manual ,60000,honda,144.9617128,-37.8087708,5,Bluetooth
Volkswagen T3 andere,69,Fullsize,1981,manual ,5000,volkswagen,144.9617253,-37.80890576,5,Bluetooth
Fiat Punto 1.2,69,Compact,2003,manual ,150000,fiat,144.9617301,-37.80916798,5,Bluetooth
Mercedes Benz E 250 D Original Zustand   ,83,Luxury,1995,automatic ,70000,mercedesBenz,144.9617495,-37.80906905,5,Bluetooth
Renault clio 1.2 T 07/2016,69,Fullsize,2016,manual ,60000,renault,144.9617679,-37.80897071,5,Bluetooth
Golf 3 ..... 1.4,69,Luxury,1994,automatic,150000,volkswagen,144.9617859,-37.80886854,5,Bluetooth
BMW 325i Aut.,180,Luxury,2007,automatic ,20000,bmw,144.9617598,-37.80874485,5,Bluetooth
Mercedes Benz E 200,95,Luxury,2004,automatic ,150000,mercedesBenz,144.9617471,-37.8086117,4,Bluetooth
VW Golf 3,35,Fullsize,2016,manual ,150000,volkswagen,144.9618181,-37.80919963,4,Bluetooth
Opel Kadett E CC,76,andere,1991,manual ,70000,opel,144.9617997,-37.80929809,4,Bluetooth
Renault Kangoo 1.9 Diesel,69,Fullsize,2016,automatic,150000,renault,144.9617814,-37.8093991,4,Bluetooth
Abschleppwagen Vw LT,119,andere,2002,manual ,60000,volkswagen,144.961763,-37.80949992,4,Bluetooth
Mercedes Camper D407,115,Fullsize,1984,manual ,150000,mercedesBenz,144.9617439,-37.80959567,4,Bluetooth
Suche Opel corsa a,65,Fullsize,1990,automatic,150000,opel,144.9617237,-37.80969763,4,Bluetooth
E 500 Avantgarde AMG,75,Luxury,2002,automatic ,60000,mercedesBenz,144.9614424,-37.80674834,4,Bluetooth
BMW E60 530XD,125,Luxury,2006,automatic ,70000,bmw,144.964338,-37.80222497,4,Bluetooth
Mini One Pepper Scheckhe,75,Luxury,2007,manual ,100000,mini,144.9639889,-37.80249092,4,Bluetooth
Smart For two Klima ,39,Compact,2008,automatic ,80000,smart,144.9642166,-37.80423674,4,Bluetooth
Renault Clio 1.4,75,Compact,1999,manual ,125000,renault,144.9680708,-37.80401721,4,Bluetooth
BMW 120d DPF,75,Luxury,2007,manual ,150000,bmw,144.9680728,-37.80436458,4,Bluetooth
BMW 528i touring,121,Economy,1998,automatic ,150000,bmw,144.9681335,-37.80440187,4,Bluetooth
VW Golf 6  Klima  Alu,75,Fullsize,2017,manual ,85000,volkswagen,144.9681325,-37.80422192,4,Bluetooth
Mercedes Benz B180 automatic ,135,Fullsize,2012,automatic ,150000,mercedesBenz,144.9681318,-37.8040437,4,Bluetooth
BMW 120i Cabrio mit M Paket,148,Convertible,2008,manual ,125000,bmw,144.9633885,-37.80357115,4,Bluetooth
Fiat punto 5 tuerer  6 gang,60,Fullsize,2017,manual ,150000,fiat,144.9626521,-37.80921163,4,Bluetooth
Verkaufe meinen kleinen,64,Fullsize,2016,manual ,5000,hyundai,144.9672204,-37.80534002,4,Bluetooth
Bmw 318 d Sport Edition Facelift,75,Luxury,2008,automatic ,150000,bmw,144.961656,-37.80206725,4,Bluetooth
Opel signum 1.9 cdti,87,Economy,2005,manual ,85000,opel,144.9616407,-37.80192886,4,Bluetooth
auto opel astra,148,Economy,1999,manual ,85000,opel,144.9616254,-37.80179051,4,Bluetooth
BMW 435i Sport coupe,75,Luxury,2014,automatic ,30000,bmw,144.9615451,-37.80185747,4,Bluetooth
Smart Cabrio T bis 07/17,30,Convertible,2006,automatic ,80000,smart,144.9615601,-37.80199757,4,Bluetooth
Seat inca 1.9SDI,75,Fullsize,2018,manual ,125000,seat,144.9615752,-37.80213767,4,Bluetooth
Volkswagen Golf 1.6,80,Luxury,1998,manual ,150000,volkswagen,144.9615902,-37.80227777,4,Bluetooth
Audi E38 740,80,Suv,1994,manual ,85000,audi,144.9616052,-37.80237796,4,Bluetooth
Audi A8 3.0 TDI quattro,80,Luxury,2004,automatic ,85000,audi,144.9683945,-37.80327597,4,Bluetooth
Skoda Fabia 1.2,47,Compact,2010,manual ,70000,skoda,144.9644095,-37.80709325,4,Bluetooth
Volkswagen Jetta 1.9 TDI,47,Luxury,2006,automatic ,100000,volkswagen,144.9646991,-37.80706158,4,Bluetooth
BMW 325 i Cabrio wenig,118,Convertible,2007,manual ,50000,bmw,144.9658158,-37.80555685,4,Bluetooth
Opel Astra 1.4 mit vielen,80,Fullsize,2017,manual ,50000,opel,144.960498,-37.80464264,4,Bluetooth
Volkswagen Scirocco 1.4,42,Luxury,2008,manual ,150000,volkswagen,144.9640645,-37.80362189,5,Bluetooth
Honda HRV reserviert,42,Suv,2000,manual ,150000,honda,144.9607485,-37.80506884,5,Bluetooth
Mercedes Benz 190,118,Luxury,1992,automatic ,85000,mercedesBenz,144.9692892,-37.8074989,5,Bluetooth
Opel astra g coupe 1.8,80,Luxury,2001,automatic,150000,opel,144.964634,-37.80957778,5,Bluetooth
Audi Cabriolet Typ,92,Convertible,1996,manual ,150000,audi,144.9637088,-37.80766398,5,Bluetooth
Mercedes Benz C 220,118,Luxury,2007,automatic ,125000,mercedesBenz,144.967331,-37.80072881,5,Bluetooth
Audi 80 5 Zylinder b4,42,Luxury,1992,manual ,50000,audi,144.9659877,-37.8042497,5,Bluetooth
Verkaufe ein toppen golf5,42,Luxury,2005,manual ,150000,volkswagen,144.9646876,-37.8075713,5,Bluetooth
Honda Civic 1.6i,42,Luxury,2003,manual ,50000,honda,144.9648427,-37.80992974,5,Bluetooth
Alfa Romeo 147 1.9,42,Luxury,2007,manual ,150000,alfaromeo,144.9623793,-37.80149889,5,Bluetooth
